case_id,region_id,sector_id,company_id,implementation_status_id,title,summary,detailed_notes,key_effect_note,maturity_level,created_at,source_id
414,19,46,,,Coursera AI‑Curriculum Generator,"LLM создает новые курсы, планирует модули, генерирует проверочные задачи на основе индустриальных требований.",Сокращение времени вывода новых курсов - 80 % (6 мес → ≈ 1 мес); экономия ≈ $ 150 млн/год.,"LLM создает новые курсы, планирует модули, генерирует проверочные задачи на основе индустриальных требований.",,2025-11-18 17:08:42.063642,
413,19,45,,,IBM Watson AI‑Scribe for Clinical Notes,LLM автоматически преобразует разговор врач‑пациент в структурированные SOAP‑записи.,Сокращение времени документооборота - 68 % (с 15 мин до ≈ 5 мин); экономия ≈ $ 220 млн/год.,LLM автоматически преобразует разговор врач‑пациент в структурированные SOAP‑записи.,,2025-11-18 17:08:42.060761,
412,19,1,,,Tesla AI‑designer for Battery Pack Layout,"Генеративный дизайн (diffusion + LLM) создаёт оптимальные схемы размещения ячеек, учитывая тепловые ограничения.",Увеличение энерго‑плотности + 9 %; экономия ≈ $ 400 млн/год на материалы.,"Генеративный дизайн (diffusion + LLM) создаёт оптимальные схемы размещения ячеек, учитывая тепловые ограничения.",,2025-11-18 17:08:42.057975,
411,19,44,,,Goldman Sachs AI‑Generated Research Reports,"LLM генерирует подробные отраслевые отчёты, включающие графики, модели, прогнозы.",Уменьшение трудозатрат - 55 %; экономия ≈ $ 300 млн/год.,"LLM генерирует подробные отраслевые отчёты, включающие графики, модели, прогнозы.",,2025-11-18 17:08:42.054569,
410,19,48,,,CrowdStrike Generative Threat‑Playbook Builder,"AI‑агент собирает индикаторы, пишет playbook, предлагает контр‑меры.",Сокращение времени разработки playbook - 65 % (с 12 ч до ≈ 4 ч); экономия ≈ $ 180 млрд/год для корпоративных клиентов.,"AI‑агент собирает индикаторы, пишет playbook, предлагает контр‑меры.",,2025-11-18 17:08:42.051889,
409,19,62,,,US VA AI‑Documentation Assistant,"LLM автогенерирует медицинские справки, письма о льготах, обрабатывая запросы ветеранов.",Сокращение обработки заявок - 70 % (с 30 дн до ≈ 9 дн); экономия ≈ $ 250 млн/год.,"LLM автогенерирует медицинские справки, письма о льготах, обрабатывая запросы ветеранов.",,2025-11-18 17:08:42.04962,
408,19,46,,,Duolingo AI‑Tutor (ChatGPT‑4‑o1) для языков,"Персональный репетитор, генерирует диалоги, объяснения грамматики, проверяет письменные ответы.",Рост удержания пользователей + 12 %; экономия ≈ $ 120 млн/год на человеческого наставника.,"Персональный репетитор, генерирует диалоги, объяснения грамматики, проверяет письменные ответы.",,2025-11-18 17:08:42.046736,
407,19,45,,,Google DeepMind AlphaMed,генеративный анализ геномов,Увеличение точности рекомендаций + 8 %; экономия ≈ $ 500 млн/год (меньше повторных тестов).,"LLM, обученный на 100 млн генетических вариантов, автоматически пишет клинические интерпретации.",,2025-11-18 17:08:42.043794,
406,19,1,,,Microsoft Azure OpenAI for Predictive Maintenance at General Motors,"LLM + RAG к базе технической документации, генерирует рабочие инструкции и предсказания отказов.",Уменьшение простоев - 27 % (экономия ≈ $ 250 млн/год).,"LLM + RAG к базе технической документации, генерирует рабочие инструкции и предсказания отказов.",,2025-11-18 17:08:42.04045,
405,19,44,,,OpenAI + JPMorgan AI‑assistant для Wealth‑Management,"ChatGPT‑4‑Turbo интегрирован в CRM, генерирует персональные инвестиционные планы, пишет отчёты и обеспечивает “explainability”.","Сокращение времени подготовки рекомендаций - 84 % (с 4 ч до ≈ 40 мин); экономия ≈ $ 1,8 млрд/год.","ChatGPT‑4‑Turbo интегрирован в CRM, генерирует персональные инвестиционные планы, пишет отчёты и обеспечивает “explainability”.",,2025-11-18 17:08:42.03678,
404,18,46,,,AI‑генератор интерактивных учебных сцен в NetEase Learn,"LLM + Unity‑based генеративный движок автоматически создаёт 3D‑сцены, упражнения, сценарии.",Увеличение вовлечённости + 22 %; экономия ≈ ¥ 350 млн/год на разработку контента.,"LLM + Unity‑based генеративный движок автоматически создаёт 3D‑сцены, упражнения, сценарии.",,2025-11-18 17:08:42.033816,
403,18,45,,,AI‑система синтеза медицинских изображений для ускорения диагностики в Philips China,"Генеративные модели создают «контрастные» MRI‑изображения из низкоконтрастных сканов, уменьшая время сканирования.",Сокращение времени процедуры - 30 %; экономия ≈ ¥ 600 млн/год (меньше расходов на контрастные вещества).,"Генеративные модели создают «контрастные» MRI‑изображения из низкоконтрастных сканов, уменьшая время сканирования.",,2025-11-18 17:08:42.031528,
402,18,1,,,Generative Design for Aerospace (COMAC),"LLM совместно с диффузионными моделями генерирует лёгкие конструкции деталей, которые проверяются CFD‑симуляцией.",Снижение веса компонентов - 12 %; экономия ≈ ¥ 950 млн/год на материалы.,"LLM совместно с диффузионными моделями генерирует лёгкие конструкции деталей, которые проверяются CFD‑симуляцией.",,2025-11-18 17:08:42.029301,
401,18,44,,,AI‑анализ финансовых отчётов в Ant Group,"LLM, обученный на 5 млн корпоративных отчётов, генерирует аналитику по рискам и перспективам.",Сокращение аналитических часов - 50 %; экономия ≈ ¥ 1 млрд/год.,"LLM, обученный на 5 млн корпоративных отчётов, генерирует аналитику по рискам и перспективам.",,2025-11-18 17:08:42.026167,
400,18,48,,,Baidu‑AI Threat‑Report Generator,"Генеративный агент собирает данные о атаке, пишет полноценный отчёт с рекомендациями, использует MITRE‑ATT&CK.",Уменьшение времени реакции - 60 % (с 24 ч до ≈ 10 ч); экономия ≈ ¥ 150 млрд/год для государственных учреждений.,"Генеративный агент собирает данные о атаке, пишет полноценный отчёт с рекомендациями, использует MITRE‑ATT&CK.",,2025-11-18 17:08:42.023843,
399,18,51,,,AI‑служба «Госуслуги‑AI» для автоматизированного составления заявлений,"LLM преобразует естественный язык в официальные формы, проверяет соответствие нормативам.",Сокращение времени заполнения - 65 % (с 30 мин до ≈ 10 мин); экономия ≈ ¥ 400 млрд/год за счёт уменьшения количества сотрудников в колл‑центрах.,"LLM преобразует естественный язык в официальные формы, проверяет соответствие нормативам.",,2025-11-18 17:08:42.021486,
398,18,46,,,AI‑тренер «Sichuan AI Academy» для подготовки к Gaokao,"Генеративный чат‑бот генерирует индивидуальные тесты, разъясняет решения, адаптируется к уровню ученика.","Рост баллов учащихся + 4,5 % в пилотных школах; экономия ≈ ¥ 250 млн/год на репетиторские услуги.","Генеративный чат‑бот генерирует индивидуальные тесты, разъясняет решения, адаптируется к уровню ученика.",,2025-11-18 17:08:42.019125,
397,18,45,,,AI‑ассистент по написанию клинических рекомендаций в Ping An Good Doctor,"GPT‑4‑based, RAG по базе китайских клинических протоколов, генерирует персонализированные рекомендации.",Уменьшение времени составления рекомендаций - 70 %; экономия ≈ ¥ 800 млн/год.,"GPT‑4‑based, RAG по базе китайских клинических протоколов, генерирует персонализированные рекомендации.",,2025-11-18 17:08:42.016965,
396,18,1,,,Генеративный планировщик производства «Huawei‑SmartFactory»,"LLM генерирует оптимальные графики сборки, учитывая ограничения оборудования, задержки и спрос.","Увеличение OEE + 6 %; экономия ≈ ¥ 1,2 млрд/год.","LLM генерирует оптимальные графики сборки, учитывая ограничения оборудования, задержки и спрос.",,2025-11-18 17:08:42.014296,
395,18,44,,,AI‑модуль кредитного скоринга в ICBC (Alibaba‑DAMO),"LLM‑based RAG, анализирует договоры, ПД + социальные данные, автоматически генерирует скоринговый отчёт.","Сокращение времени одобрения - 85 % (от 2 дн до ≈ 5 ч); экономия ≈ ¥ 3,5 млрд/год.","LLM‑based RAG, анализирует договоры, ПД + социальные данные, автоматически генерирует скоринговый отчёт.",,2025-11-18 17:08:42.010943,
394,17,46,,,AI‑контент‑мейкер для адаптивных онлайн‑курсов (Skillbox),"Генеративный трансформер создаёт видео‑скрипты, практические задания и автоматические проверки.",Увеличение завершения курсов + 14 %; экономия ≈ ₽ 180 млн/год на разработку контента.,"Генеративный трансформер создаёт видео‑скрипты, практические задания и автоматические проверки.",,2025-11-18 17:08:42.008447,
393,17,45,,,Генеративный анализ генетических данных в «Медси»,"LLM + биоинформатический модуль генерирует интерпретацию вариантов, рекомендации по терапии.",Увеличение точности рекомендаций + 9 % (по сравнению с традиционной пайп‑лайн); экономия ≈ ₽ 310 млн/год (меньше повторных анализов).,"LLM + биоинформатический модуль генерирует интерпретацию вариантов, рекомендации по терапии.",,2025-11-18 17:08:42.005645,
392,17,1,,,Синтез инструкций по обслуживанию оборудования (ГАЗ),LLM автоматически генерирует пошаговые инструкции и чек‑листы из технической документации и журналов эксплуатации.,Сокращение времени простоя оборудования - 18 %; экономия ≈ ₽ 420 млн/год.,LLM автоматически генерирует пошаговые инструкции и чек‑листы из технической документации и журналов эксплуатации.,,2025-11-18 17:08:42.002999,
391,17,44,,,AI‑поддержка AML в ВТБ,"Генеративный агент формирует запросы в регуляторные базы, пишет отчёты о подозрительных операциях, повышая полноту покрывающих проверок.",Увеличение количества выявленных подозрений + 12 %; снижение ручных часов ≈ ₽ 95 млн/год.,"Генеративный агент формирует запросы в регуляторные базы, пишет отчёты о подозрительных операциях, повышая полноту покрывающих проверок.",,2025-11-18 17:08:42.000879,
390,17,48,,,AI‑SOC «Касперского‑AI» для автоматической генерации аналитических отчётов о инцидентах,"LLM пишет подробные пост‑мортем, сопоставляя логи и известные MITRE‑ATT&CK техники.",Уменьшение времени расследования - 65 % (с 48 ч до ≈ 17 ч); экономия ≈ ₽ 200 млн/год для крупных корпоративных клиентов.,"LLM пишет подробные пост‑мортем, сопоставляя логи и известные MITRE‑ATT&CK техники.",,2025-11-18 17:08:41.998966,
389,17,51,,,Код‑генератор для автоматизации государственных форм (Центр госуслуг),"LLM генерирует JSON‑схемы и скрипты‑валидацию на основе описаний требований, ускоряя выпуск новых онлайн‑услуг.",Сокращение времени разработки формы - 80 % (от 6 недел до ≈ 1 недели); экономия ≈ ₽ 300 млн/год.,"LLM генерирует JSON‑схемы и скрипты‑валидацию на основе описаний требований, ускоряя выпуск новых онлайн‑услуг.",,2025-11-18 17:08:41.996875,
388,17,46,,,Виртуальный репетитор «Яндекс‑Учебник AI»,"LLM (YandexGPT) адаптирован под школьную программу, генерирует объяснения, задачи и проверочные тесты, интегрирован в «Яндекс.Учебник».",Рост успеваемости (показатели ПФО + 7 %); экономия ≈ ₽ 150 млн/год на репетиторские услуги в школах‑партнёрах.,"LLM (YandexGPT) адаптирован под школьную программу, генерирует объяснения, задачи и проверочные тесты, интегрирован в «Яндекс.Учебник».",,2025-11-18 17:08:41.994019,
387,17,45,,,AI‑система «Эхо‑Доктор» для автоматической генерации заключений УЗИ (Гемотест),"Генеративный трансформер, обученный на 2 млн изображений, формирует текстовое заключение, проверяемое радиологом.",Увеличение пропускной способности врачей - 35 %; экономия ≈ ₽ 420 млн/год (меньше часов рецензирования).,"Генеративный трансформер, обученный на 2 млн изображений, формирует текстовое заключение, проверяемое радиологом.",,2025-11-18 17:08:41.991753,
386,17,1,,,RAG‑платформа для контроля качества на заводе «Ростех‑Маш»,"LLM + векторный поиск по базе изображений дефектов, генерация рекомендаций операторам в реальном времени.","Снижение доли брака - 23 % (с 5 % до ≈ 3,9 %); экономия ≈ ₽ 850 млн/год.","LLM + векторный поиск по базе изображений дефектов, генерация рекомендаций операторам в реальном времени.",,2025-11-18 17:08:41.989339,
385,17,44,,,AI‑ассистент по кредитному андеррайтингу в Сбербанк,"Генеративный LLM (GPT‑4‑turbo) в сочетании с RAG к корпоративной базе договоров и историей кредитов. Автоматическая подготовка «кредитных досье», предварительная оценка риска, генерация рекомендательных писем.","Сокращение времени создания досье - 90 % (с 3 дней до ≈ 3 часов); экономия ≈ ₽ 1,2 млрд/год за счёт снижения нагрузки на аналитиков.","Генеративный LLM (GPT‑4‑turbo) в сочетании с RAG к корпоративной базе договоров и историей кредитов. Автоматическая подготовка «кредитных досье», предварительная оценка риска, генерация рекомендательных писем.",,2025-11-18 17:08:41.986388,
384,20,46,,,Khan Academy AI‑Lesson Builder,"LLM автоматически генерирует упражнения, проверочные задачи и объяснения к любой теме.","Khan Academy Blog 2025, EdTech Digest.",Увеличение охвата контента + 45 %; экономия ≈ $ 200 млрд/год (по сравнению с наймом контент‑мейкеров).,,2025-11-18 17:08:41.977187,
383,20,45,,,Novartis AI‑Clinical‑Trial Protocol Writer,"LLM генерирует протоколы фаз I‑III, снижая время подготовки с 12 мес до ≈ 3 мес.","Novartis Press Release 2025, Reuters.","Сокращение времени выхода новых препаратов - 30 %; экономия ≈ $ 2,5 млрд/год (скорейшее получение лицензий).",,2025-11-18 17:08:41.973718,
382,20,1,,,Toyota AI‑Supply‑Chain Optimizer,"генеративная модель создает динамические планы поставок, учитывая геополитические риски.",Toyota Global Newsroom 2025.,"Сокращение избыточных запасов - 22 %; экономия ≈ $ 1,4 млрд/год.",,2025-11-18 17:08:41.971301,
381,20,44,,,Stripe AI‑Chargeback Dispute Generator,"LLM формирует юридически выверенные ответы на споры, обученный на миллионах кейсов.",Stripe Engineering Update 2025.,Снижение расходов - 40 % (по сравнению с ручным обслуживанием); экономия ≈ $ 500 млн/год.,,2025-11-18 17:08:41.96859,
380,20,48,,,Microsoft Azure AI‑Redteam Generator,"генеративный агент автоматически создаёт сценарии атак (ATT&CK), генерирует отчёты и рекомендации.",Microsoft Security Blog 2025.,"Сокращение подготовительного времени - 70 %; экономия ≈ $ 1,1 млрд/год для корпоративных клиентов.",,2025-11-18 17:08:41.965755,
379,20,51,,,EU AI‑Policy Draft Assistant,"LLM помогает писать законодательные тексты, проверяя их на согласованность с GDPR, CELEX.","Европейская Комиссия, 2025.",Уменьшение времени подготовки законопроектов - 60 %; экономия ≈ € 120 млн/год (человеко‑часов).,,2025-11-18 17:08:41.962602,
378,20,46,,,UNESCO AI‑Learning Path Generator,глобальная платформа (LLM + локальные данные) создает адаптивные учебные траектории для школ в развивающихся странах.,UNESCO 2025 Tech Report.,Повышение завершения курсов + 18 % в пилотных регионах; экономия ≈ $ 300 млрд/год (сокращение затрат на репетиторские программы).,,2025-11-18 17:08:41.959761,
377,20,45,,,Meta Health‑AI for Radiology,генеративные модели создают «synthetic CT»‑сканы для обучения и одновременно генерируют предварительные заключения.,"Meta Health Blog 2025, Radiology AI Conference.",Увеличение количества обучающих данных + 30 %; сокращение времени чтения - 40 %; экономия ≈ $ 850 млрд/год глобально (по сокращению повторных сканов).,,2025-11-18 17:08:41.95706,
376,20,1,,,Siemens AI‑Factory Planner,"LLM генерирует оптимальные планы производства с учётом поставок, спроса, энергопотребления; внедрено в 12 мультинациональных фабрик.","Siemens Press Release 2025, Industry Week.","Сокращение времени планирования - 70 %; экономия ≈ $ 2,3 млрд/год.",,2025-11-18 17:08:41.953806,
375,20,44,,,World Bank AI‑Risk Engine,"глобальная платформа для оценки суверенных кредитных рисков, использующая LLM + RAG к базам IMF, World Bank, Bloomberg.",Сокращение времени анализа - 95 %; экономия ≈ $ 600 млн/год (ресурсы аналитиков).,"Генерирует аналитический отчёт за ≈ 10 мин, заменяя 3‑недельный процесс.",,2025-11-18 17:08:41.950792,
374,19,46,,,Coursera AI‑Curriculum Generator,"LLM создает новые курсы, планирует модули, генерирует проверочные задачи на основе индустриальных требований.",Сокращение времени вывода новых курсов - 80 % (6 мес → ≈ 1 мес); экономия ≈ $ 150 млн/год.,"LLM создает новые курсы, планирует модули, генерирует проверочные задачи на основе индустриальных требований.",,2025-11-18 17:08:41.948206,
373,19,45,,,IBM Watson AI‑Scribe for Clinical Notes,LLM автоматически преобразует разговор врач‑пациент в структурированные SOAP‑записи.,Сокращение времени документооборота - 68 % (с 15 мин до ≈ 5 мин); экономия ≈ $ 220 млн/год.,LLM автоматически преобразует разговор врач‑пациент в структурированные SOAP‑записи.,,2025-11-18 17:08:41.945566,
372,19,1,,,Tesla AI‑designer for Battery Pack Layout,"Генеративный дизайн (diffusion + LLM) создаёт оптимальные схемы размещения ячеек, учитывая тепловые ограничения.",Увеличение энерго‑плотности + 9 %; экономия ≈ $ 400 млн/год на материалы.,"Генеративный дизайн (diffusion + LLM) создаёт оптимальные схемы размещения ячеек, учитывая тепловые ограничения.",,2025-11-18 17:08:41.942305,
371,19,44,,,Goldman Sachs AI‑Generated Research Reports,"LLM генерирует подробные отраслевые отчёты, включающие графики, модели, прогнозы.",Уменьшение трудозатрат - 55 %; экономия ≈ $ 300 млн/год.,"LLM генерирует подробные отраслевые отчёты, включающие графики, модели, прогнозы.",,2025-11-18 17:08:41.93879,
370,19,48,,,CrowdStrike Generative Threat‑Playbook Builder,"AI‑агент собирает индикаторы, пишет playbook, предлагает контр‑меры.",Сокращение времени разработки playbook - 65 % (с 12 ч до ≈ 4 ч); экономия ≈ $ 180 млрд/год для корпоративных клиентов.,"AI‑агент собирает индикаторы, пишет playbook, предлагает контр‑меры.",,2025-11-18 17:08:41.935389,
369,19,62,,,US VA AI‑Documentation Assistant,"LLM автогенерирует медицинские справки, письма о льготах, обрабатывая запросы ветеранов.",Сокращение обработки заявок - 70 % (с 30 дн до ≈ 9 дн); экономия ≈ $ 250 млн/год.,"LLM автогенерирует медицинские справки, письма о льготах, обрабатывая запросы ветеранов.",,2025-11-18 17:08:41.932685,
368,19,46,,,Duolingo AI‑Tutor (ChatGPT‑4‑o1) для языков,"Персональный репетитор, генерирует диалоги, объяснения грамматики, проверяет письменные ответы.",Рост удержания пользователей + 12 %; экономия ≈ $ 120 млн/год на человеческого наставника.,"Персональный репетитор, генерирует диалоги, объяснения грамматики, проверяет письменные ответы.",,2025-11-18 17:08:41.929037,
367,19,45,,,Google DeepMind AlphaMed,генеративный анализ геномов,Увеличение точности рекомендаций + 8 %; экономия ≈ $ 500 млн/год (меньше повторных тестов).,"LLM, обученный на 100 млн генетических вариантов, автоматически пишет клинические интерпретации.",,2025-11-18 17:08:41.92639,
366,19,1,,,Microsoft Azure OpenAI for Predictive Maintenance at General Motors,"LLM + RAG к базе технической документации, генерирует рабочие инструкции и предсказания отказов.",Уменьшение простоев - 27 % (экономия ≈ $ 250 млн/год).,"LLM + RAG к базе технической документации, генерирует рабочие инструкции и предсказания отказов.",,2025-11-18 17:08:41.924066,
365,19,44,,,OpenAI + JPMorgan AI‑assistant для Wealth‑Management,"ChatGPT‑4‑Turbo интегрирован в CRM, генерирует персональные инвестиционные планы, пишет отчёты и обеспечивает “explainability”.","Сокращение времени подготовки рекомендаций - 84 % (с 4 ч до ≈ 40 мин); экономия ≈ $ 1,8 млрд/год.","ChatGPT‑4‑Turbo интегрирован в CRM, генерирует персональные инвестиционные планы, пишет отчёты и обеспечивает “explainability”.",,2025-11-18 17:08:41.92142,
364,18,46,,,AI‑генератор интерактивных учебных сцен в NetEase Learn,"LLM + Unity‑based генеративный движок автоматически создаёт 3D‑сцены, упражнения, сценарии.",Увеличение вовлечённости + 22 %; экономия ≈ ¥ 350 млн/год на разработку контента.,"LLM + Unity‑based генеративный движок автоматически создаёт 3D‑сцены, упражнения, сценарии.",,2025-11-18 17:08:41.918634,
363,18,45,,,AI‑система синтеза медицинских изображений для ускорения диагностики в Philips China,"Генеративные модели создают «контрастные» MRI‑изображения из низкоконтрастных сканов, уменьшая время сканирования.",Сокращение времени процедуры - 30 %; экономия ≈ ¥ 600 млн/год (меньше расходов на контрастные вещества).,"Генеративные модели создают «контрастные» MRI‑изображения из низкоконтрастных сканов, уменьшая время сканирования.",,2025-11-18 17:08:41.916107,
362,18,1,,,Generative Design for Aerospace (COMAC),"LLM совместно с диффузионными моделями генерирует лёгкие конструкции деталей, которые проверяются CFD‑симуляцией.",Снижение веса компонентов - 12 %; экономия ≈ ¥ 950 млн/год на материалы.,"LLM совместно с диффузионными моделями генерирует лёгкие конструкции деталей, которые проверяются CFD‑симуляцией.",,2025-11-18 17:08:41.913481,
361,18,44,,,AI‑анализ финансовых отчётов в Ant Group,"LLM, обученный на 5 млн корпоративных отчётов, генерирует аналитику по рискам и перспективам.",Сокращение аналитических часов - 50 %; экономия ≈ ¥ 1 млрд/год.,"LLM, обученный на 5 млн корпоративных отчётов, генерирует аналитику по рискам и перспективам.",,2025-11-18 17:08:41.910231,
360,18,48,,,Baidu‑AI Threat‑Report Generator,"Генеративный агент собирает данные о атаке, пишет полноценный отчёт с рекомендациями, использует MITRE‑ATT&CK.",Уменьшение времени реакции - 60 % (с 24 ч до ≈ 10 ч); экономия ≈ ¥ 150 млрд/год для государственных учреждений.,"Генеративный агент собирает данные о атаке, пишет полноценный отчёт с рекомендациями, использует MITRE‑ATT&CK.",,2025-11-18 17:08:41.906871,
359,18,51,,,AI‑служба «Госуслуги‑AI» для автоматизированного составления заявлений,"LLM преобразует естественный язык в официальные формы, проверяет соответствие нормативам.",Сокращение времени заполнения - 65 % (с 30 мин до ≈ 10 мин); экономия ≈ ¥ 400 млрд/год за счёт уменьшения количества сотрудников в колл‑центрах.,"LLM преобразует естественный язык в официальные формы, проверяет соответствие нормативам.",,2025-11-18 17:08:41.903196,
358,18,46,,,AI‑тренер «Sichuan AI Academy» для подготовки к Gaokao,"Генеративный чат‑бот генерирует индивидуальные тесты, разъясняет решения, адаптируется к уровню ученика.","Рост баллов учащихся + 4,5 % в пилотных школах; экономия ≈ ¥ 250 млн/год на репетиторские услуги.","Генеративный чат‑бот генерирует индивидуальные тесты, разъясняет решения, адаптируется к уровню ученика.",,2025-11-18 17:08:41.900101,
357,18,45,,,AI‑ассистент по написанию клинических рекомендаций в Ping An Good Doctor,"GPT‑4‑based, RAG по базе китайских клинических протоколов, генерирует персонализированные рекомендации.",Уменьшение времени составления рекомендаций - 70 %; экономия ≈ ¥ 800 млн/год.,"GPT‑4‑based, RAG по базе китайских клинических протоколов, генерирует персонализированные рекомендации.",,2025-11-18 17:08:41.896885,
356,18,1,,,Генеративный планировщик производства «Huawei‑SmartFactory»,"LLM генерирует оптимальные графики сборки, учитывая ограничения оборудования, задержки и спрос.","Увеличение OEE + 6 %; экономия ≈ ¥ 1,2 млрд/год.","LLM генерирует оптимальные графики сборки, учитывая ограничения оборудования, задержки и спрос.",,2025-11-18 17:08:41.893565,
355,18,44,,,AI‑модуль кредитного скоринга в ICBC (Alibaba‑DAMO),"LLM‑based RAG, анализирует договоры, ПД + социальные данные, автоматически генерирует скоринговый отчёт.","Сокращение времени одобрения - 85 % (от 2 дн до ≈ 5 ч); экономия ≈ ¥ 3,5 млрд/год.","LLM‑based RAG, анализирует договоры, ПД + социальные данные, автоматически генерирует скоринговый отчёт.",,2025-11-18 17:08:41.890557,
354,17,46,,,AI‑контент‑мейкер для адаптивных онлайн‑курсов (Skillbox),"Генеративный трансформер создаёт видео‑скрипты, практические задания и автоматические проверки.",Увеличение завершения курсов + 14 %; экономия ≈ ₽ 180 млн/год на разработку контента.,"Генеративный трансформер создаёт видео‑скрипты, практические задания и автоматические проверки.",,2025-11-18 17:08:41.886738,
353,17,45,,,Генеративный анализ генетических данных в «Медси»,"LLM + биоинформатический модуль генерирует интерпретацию вариантов, рекомендации по терапии.",Увеличение точности рекомендаций + 9 % (по сравнению с традиционной пайп‑лайн); экономия ≈ ₽ 310 млн/год (меньше повторных анализов).,"LLM + биоинформатический модуль генерирует интерпретацию вариантов, рекомендации по терапии.",,2025-11-18 17:08:41.883996,
352,17,1,,,Синтез инструкций по обслуживанию оборудования (ГАЗ),LLM автоматически генерирует пошаговые инструкции и чек‑листы из технической документации и журналов эксплуатации.,Сокращение времени простоя оборудования - 18 %; экономия ≈ ₽ 420 млн/год.,LLM автоматически генерирует пошаговые инструкции и чек‑листы из технической документации и журналов эксплуатации.,,2025-11-18 17:08:41.880798,
351,17,44,,,AI‑поддержка AML в ВТБ,"Генеративный агент формирует запросы в регуляторные базы, пишет отчёты о подозрительных операциях, повышая полноту покрывающих проверок.",Увеличение количества выявленных подозрений + 12 %; снижение ручных часов ≈ ₽ 95 млн/год.,"Генеративный агент формирует запросы в регуляторные базы, пишет отчёты о подозрительных операциях, повышая полноту покрывающих проверок.",,2025-11-18 17:08:41.877126,
350,17,48,,,AI‑SOC «Касперского‑AI» для автоматической генерации аналитических отчётов о инцидентах,"LLM пишет подробные пост‑мортем, сопоставляя логи и известные MITRE‑ATT&CK техники.",Уменьшение времени расследования - 65 % (с 48 ч до ≈ 17 ч); экономия ≈ ₽ 200 млн/год для крупных корпоративных клиентов.,"LLM пишет подробные пост‑мортем, сопоставляя логи и известные MITRE‑ATT&CK техники.",,2025-11-18 17:08:41.874064,
